,Title,count,Total Revenue,Best Day
0,The Book of Dust: La Belle Sauvage ,65,354.4,2018-02-02
1,The Book Thief ,63,374.14,2018-02-06
2,The Giver ,59,230.79,2018-02-02
3,The Cruel Prince ,48,323.82,2018-02-04
4,The Sun Is Also a Star ,46,451.77,2018-02-04
5,Every Day ,36,131.88,2018-02-06
6,The Hazel Wood ,36,814.47,2018-02-04
7,Warcross ,24,1487.4499999999998,2018-02-06
8,Renegades ,23,897.27,2018-02-06
9,"Everything, Everything ",21,190.95,2018-02-06
10,Dear Martin,20,579.42,2018-02-06
11,Turtles All the Way Down ,20,197.89,2018-02-03
12,One of Us Is Lying ,19,611.64,2018-02-06
13,The Fault in Our Stars ,15,865.9399999999999,2018-02-06
14,Salt to the Sea ,12,395.79999999999995,2018-02-06
15,The Hate U Give ,11,455.76,2018-02-06
